Classifying ...

[1/300] true=POSITIVE pred=POSITIVE | its a gift card
[2/300] true=POSITIVE pred=POSITIVE | Great that I could send straight to my g
[3/300] true=NEGATIVE pred=NEGATIVE | Cheap card. Nice tin
[4/300] true=POSITIVE pred=POSITIVE | Five Stars
[5/300] true=NEGATIVE pred=NEGATIVE | Didn’t receive full amount
[6/300] true=NEGATIVE pred=NEGATIVE | Fraud purchase
[7/300] true=NEGATIVE pred=NEGATIVE | Carrier that does not care
[8/300] true=POSITIVE pred=POSITIVE | Good card
[9/300] true=NEGATIVE pred=POSITIVE | One Star
[10/300] true=POSITIVE pred=POSITIVE | Convenient
[11/300] true=NEGATIVE pred=NEGATIVE | FRAUD
[12/300] true=POSITIVE pred=POSITIVE | Great product !
[13/300] true=NEGATIVE pred=NEGATIVE | Looked used!
[14/300] true=NEGATIVE pred=NEGATIVE | Glitch
[15/300] true=POSITIVE pred=POSITIVE | Simple to do. I do it all the time.
[16/300] true=POSITIVE pred=POSITIVE | Four Stars
[17/300] true=POSITIVE pred=POSITIVE | Five Stars
[18/300] true=POSITIVE pred=POSITIVE | Great gift
[19/300] true=POSITIVE pred=POSITIVE | Great Gift
[20/300] true=POSITIVE pred=POSITIVE | Perfect card
[21/300] true=NEGATIVE pred=NEGATIVE | Received late and ZERO balance on card
[22/300] true=POSITIVE pred=POSITIVE | Very cute card
[23/300] true=POSITIVE pred=POSITIVE | Five Stars
[24/300] true=NEGATIVE pred=NEGATIVE | Envelopes torn
[25/300] true=NEGATIVE pred=NEGATIVE | not good
[26/300] true=NEGATIVE pred=POSITIVE | Kindle
[27/300] true=NEGATIVE pred=NEGATIVE | no $10 back
[28/300] true=POSITIVE pred=POSITIVE | Love this card.
[29/300] true=NEGATIVE pred=NEGATIVE | Finding the amount of the cards
[30/300] true=NEGATIVE pred=NEGATIVE | Doubleucasino
[31/300] true=POSITIVE pred=POSITIVE | gift card
[32/300] true=POSITIVE pred=NEGATIVE | Gift Card
[33/300] true=NEGATIVE pred=NEGATIVE | Worst thing ever
[34/300] true=NEGATIVE pred=NEGATIVE | Love them just 0 balance
[35/300] true=NEGATIVE pred=NEGATIVE | Hacked
[36/300] true=NEGATIVE pred=NEGATIVE | Check your payment preferences before ad
[37/300] true=POSITIVE pred=POSITIVE | Great gift!
[38/300] true=POSITIVE pred=POSITIVE | Five Stars
[39/300] true=NEGATIVE pred=NEGATIVE | Not what they said
[40/300] true=POSITIVE pred=POSITIVE | Amazon.com Gift Card in a Black Gift Box
[41/300] true=POSITIVE pred=POSITIVE | free money!
[42/300] true=NEGATIVE pred=NEGATIVE | The person who received this gift card i
[43/300] true=NEGATIVE pred=NEGATIVE | DO NOT PURCHASE!!!
[44/300] true=NEGATIVE pred=NEGATIVE | $100 gift card box EMPTY!
[45/300] true=POSITIVE pred=POSITIVE | Perfect Gift
[46/300] true=NEGATIVE pred=NEGATIVE | No
[47/300] true=POSITIVE pred=POSITIVE | Reload without a Gun License
[48/300] true=NEGATIVE pred=NEGATIVE | Ripped envelope
[49/300] true=POSITIVE pred=POSITIVE | A breeze to use.
[50/300] true=NEGATIVE pred=NEGATIVE | Getting a better grinder
[51/300] true=POSITIVE pred=POSITIVE | Putting $100 reload on my gift card
[52/300] true=NEGATIVE pred=NEGATIVE | Don't waste your money!
[53/300] true=POSITIVE pred=POSITIVE | Gift on Christmas Morning
[54/300] true=NEGATIVE pred=NEGATIVE | Went to use it and it would not work :(
[55/300] true=NEGATIVE pred=NEGATIVE | One Star
[56/300] true=NEGATIVE pred=NEGATIVE | Loser's weepers
[57/300] true=NEGATIVE pred=NEGATIVE | I only received 1 of my 2 10 dollar gift
[58/300] true=POSITIVE pred=POSITIVE | Easy peasy
[59/300] true=POSITIVE pred=POSITIVE | So cute
[60/300] true=NEGATIVE pred=NEGATIVE | not accepted
[61/300] true=POSITIVE pred=POSITIVE | Great presentation box
[62/300] true=NEGATIVE pred=NEGATIVE | One Star
[63/300] true=POSITIVE pred=POSITIVE | gift card
[64/300] true=POSITIVE pred=POSITIVE | Convenient
[65/300] true=NEGATIVE pred=NEGATIVE | What kind of nonsense is this removing t
[66/300] true=POSITIVE pred=POSITIVE | Good
[67/300] true=NEGATIVE pred=NEGATIVE | Didn't show up on my account
[68/300] true=NEGATIVE pred=NEGATIVE | Can't access some money on my car becaus
[69/300] true=POSITIVE pred=POSITIVE | Great!! Simply amazing way to treat some
[70/300] true=NEGATIVE pred=NEGATIVE | One Star
[71/300] true=POSITIVE pred=POSITIVE | Always a great gift.
[72/300] true=POSITIVE pred=POSITIVE | Really lovable bear.
[73/300] true=NEGATIVE pred=NEGATIVE | Two Stars
[74/300] true=POSITIVE pred=POSITIVE | Product arrived on time and was exactly 
[75/300] true=POSITIVE pred=POSITIVE | Nice!
[76/300] true=POSITIVE pred=POSITIVE | Really cute for graduation parties
[77/300] true=NEGATIVE pred=NEGATIVE | $50 doesn’t equal $0
[78/300] true=POSITIVE pred=POSITIVE | Millennial gifts from a Grandmother!!
[79/300] true=NEGATIVE pred=NEGATIVE | Who’s on First
[80/300] true=NEGATIVE pred=NEGATIVE | I can't use
[81/300] true=NEGATIVE pred=NEGATIVE | This gift card is not working
[82/300] true=NEGATIVE pred=NEGATIVE | Two of my gift cards are missing!
[83/300] true=NEGATIVE pred=NEGATIVE | They weren’t activated!!
[84/300] true=NEGATIVE pred=NEGATIVE | Card came bent in half.  Unpresentable f
[85/300] true=POSITIVE pred=POSITIVE | Should have bought  cards way sooner
[86/300] true=NEGATIVE pred=NEGATIVE | Check the box
[87/300] true=POSITIVE pred=POSITIVE | Good
[88/300] true=NEGATIVE pred=NEGATIVE | ????
[89/300] true=NEGATIVE pred=NEGATIVE | Gift card was torn
[90/300] true=POSITIVE pred=POSITIVE | Great gift
[91/300] true=NEGATIVE pred=NEGATIVE | Wrong item in package!
[92/300] true=POSITIVE pred=POSITIVE | Easy
[93/300] true=NEGATIVE pred=NEGATIVE | Did not work 10$
[94/300] true=NEGATIVE pred=NEGATIVE | Gift Card
[95/300] true=POSITIVE pred=NEGATIVE | Could be more visible
[96/300] true=NEGATIVE pred=NEGATIVE | No longer able to reload gift card balan
[97/300] true=POSITIVE pred=POSITIVE | Holiday Cheer
[98/300] true=NEGATIVE pred=NEGATIVE | I don't like
[99/300] true=POSITIVE pred=POSITIVE | Festive Gift Card Container for Holiday 
[100/300] true=NEGATIVE pred=NEGATIVE | Don’t buy
[101/300] true=NEGATIVE pred=NEGATIVE | Delivered
[102/300] true=NEGATIVE pred=NEGATIVE | I Paid for a slip of the finger
[103/300] true=POSITIVE pred=POSITIVE | Meldy
[104/300] true=NEGATIVE pred=NEGATIVE | Support
[105/300] true=NEGATIVE pred=NEGATIVE | Ugh
[106/300] true=POSITIVE pred=POSITIVE | If you can get these on sale, don’t ever
[107/300] true=POSITIVE pred=POSITIVE | Giftable card for nice department store
[108/300] true=NEGATIVE pred=NEGATIVE | Only works with SPECIFIC Straight Talk P
[109/300] true=POSITIVE pred=POSITIVE | Liked it
[110/300] true=POSITIVE pred=POSITIVE | Perfect Gift
[111/300] true=NEGATIVE pred=NEGATIVE | This is a rip off and no answers.
[112/300] true=POSITIVE pred=POSITIVE | Five Stars
[113/300] true=NEGATIVE pred=NEGATIVE | False Advertising
[114/300] true=POSITIVE pred=POSITIVE | Five Stars
[115/300] true=NEGATIVE pred=NEGATIVE | One Star
[116/300] true=POSITIVE pred=POSITIVE | Five Stars
[117/300] true=POSITIVE pred=POSITIVE | Great Gift!
[118/300] true=NEGATIVE pred=POSITIVE | Getting  a bargin
[119/300] true=POSITIVE pred=POSITIVE | Amazon is perfect gift
[120/300] true=POSITIVE pred=POSITIVE | Quick and Easy
[121/300] true=NEGATIVE pred=NEGATIVE | Received item damaged, cannot use.
[122/300] true=NEGATIVE pred=NEGATIVE | Stolen gift card
[123/300] true=NEGATIVE pred=NEGATIVE | Need information
[124/300] true=NEGATIVE pred=NEGATIVE | Amazon Gift Cards
[125/300] true=POSITIVE pred=POSITIVE | Easy gift idea!
[126/300] true=NEGATIVE pred=NEGATIVE | Worked great on the first one I received
[127/300] true=POSITIVE pred=POSITIVE | Awesome!!
[128/300] true=POSITIVE pred=POSITIVE | Just in time..
[129/300] true=NEGATIVE pred=NEGATIVE | One Star
[130/300] true=POSITIVE pred=POSITIVE | Always a good choice.
[131/300] true=POSITIVE pred=POSITIVE | Five Stars
[132/300] true=POSITIVE pred=POSITIVE | Five Stars
[133/300] true=NEGATIVE pred=NEGATIVE | Money getter
[134/300] true=POSITIVE pred=POSITIVE | Five Stars
[135/300] true=POSITIVE pred=POSITIVE | Five Stars
[136/300] true=POSITIVE pred=POSITIVE | Happy Kid
[137/300] true=POSITIVE pred=POSITIVE | Love these!
[138/300] true=NEGATIVE pred=NEGATIVE | One Star
[139/300] true=POSITIVE pred=POSITIVE | Worked as well as cash for me
[140/300] true=POSITIVE pred=POSITIVE | cool
[141/300] true=POSITIVE pred=POSITIVE | Can pick their own gift then
[142/300] true=POSITIVE pred=POSITIVE | GREAT DEAL, AWSOME EXCELLENT PRODUCT
[143/300] true=NEGATIVE pred=NEGATIVE | Too pricey
[144/300] true=NEGATIVE pred=NEGATIVE | Arrived late and had a zero balance.
[145/300] true=NEGATIVE pred=NEGATIVE | What?
[146/300] true=NEGATIVE pred=NEGATIVE | Stuck
[147/300] true=POSITIVE pred=POSITIVE | Great Gift card
[148/300] true=NEGATIVE pred=NEGATIVE | Do not use where a "hold" will likely oc
[149/300] true=POSITIVE pred=POSITIVE | Easter
[150/300] true=POSITIVE pred=POSITIVE | Five Stars
[151/300] true=NEGATIVE pred=NEGATIVE | Can’t redeem!
[152/300] true=NEGATIVE pred=NEGATIVE | Avoid
[153/300] true=NEGATIVE pred=NEGATIVE | Delivered a damaged gift box and not eli
[154/300] true=POSITIVE pred=POSITIVE | Beautiful box
